"city","state","males","females","lat","lng","state_name"
"Abbeville","LA","1","0","29.9746502","-92.1342921","Louisiana"
"Algiers","LA","2","0","29.9510514","-90.0810887765","Louisiana"
"Ascension Parish","LA","1","0","30.20465845","-90.8896301065","Louisiana"
"Avondale","LA","3","0","29.9129834","-90.2036869","Louisiana"
"Baker","LA","1","0","30.5882429","-91.168163","Louisiana"
"Baton Rouge","LA","46","8","30.4507462","-91.154551","Louisiana"
"Bayou Vista","LA","1","1","30.2813059","-89.8175651","Louisiana"
"Blanchard","LA","1","0","32.580983","-93.8926813","Louisiana"
"Bossier City","LA","3","2","32.5064115","-93.6518381305","Louisiana"
"Bossier City ","LA","1","0","32.5064115","-93.6518381305","Louisiana"
"Caddo Parish","LA","1","0","32.60755","-93.9023891783","Louisiana"
"Calcasieu Parish","LA","1","0","30.26537195","-93.3691697244","Louisiana"
"Carencro","LA","2","0","30.317144","-92.0490096","Louisiana"
"Chalmette","LA","1","0","29.9427037","-89.9634017","Louisiana"
"Charenton","LA","2","0","29.8815936","-91.5251127","Louisiana"
"Covington","LA","1","0","30.4754702","-90.1009108","Louisiana"
"Creston","LA","1","0","31.9759941","-93.049884","Louisiana"
"Crowley","LA","1","0","30.2140928","-92.3745761","Louisiana"
"DeRidder","LA","1","0","30.8463055","-93.2890528","Louisiana"
"Denham Springs","LA","2","0","30.4868564","-90.9562125","Louisiana"
"Donaldsonville","LA","2","0","30.1010324","-90.9928774","Louisiana"
"Duson","LA","1","0","30.2357577","-92.1854035","Louisiana"
"East Baton Rouge","LA","1","0","30.4143987","-91.1774318","Louisiana"
"Ebarb","LA","1","0","31.635777","-93.648603","Louisiana"
"Edgard","LA","1","0","30.0432578","-90.5600869","Louisiana"
"Ferriday","LA","1","0","31.6301664","-91.5545649","Louisiana"
"Garyville","LA","1","0","30.056035","-90.6192554","Louisiana"
"Geismar","LA","1","0","30.2043633","-91.0226013","Louisiana"
"Gentilly","LA","4","0","30.0156248","-90.0518356","Louisiana"
"Gonzales","LA","1","0","30.2385294","-90.9200987","Louisiana"
"Gray","LA","1","0","29.6977108","-90.786481","Louisiana"
"Hammond","LA","3","1","30.5043583","-90.4611995","Louisiana"
"Harahan","LA","1","0","29.9404826","-90.2031313","Louisiana"
"Harvey","LA","10","0","29.9035387","-90.0772944","Louisiana"
"Houma","LA","9","1","29.5957696","-90.7195348","Louisiana"
"Jamestown","LA","1","0","32.3440452","-93.2118341","Louisiana"
"Jeanerette","LA","1","0","29.9110378","-91.6634484","Louisiana"
"Jefferson","LA","2","0","29.8502657","-90.1293894","Louisiana"
"Jena","LA","1","0","31.6832271","-92.1337448","Louisiana"
"Kenner","LA","7","0","29.9940924","-90.2417434","Louisiana"
"Kentwood","LA","1","1","30.9382358","-90.5089843","Louisiana"
"Krotz Springs","LA","1","0","30.5368592","-91.7528931","Louisiana"
"LaFayette","LA","2","1","30.2240897","-92.0198427","Louisiana"
"LaPlace","LA","5","1","30.0665907","-90.4800848","Louisiana"
"Lafayette","LA","5","0","30.2240897","-92.0198427","Louisiana"
"Lafayette Parish","LA","1","1","30.208284","-92.112074291","Louisiana"
"Lafourche Parish","LA","1","0","29.50317955","-90.3635387246","Louisiana"
"Lake Charles","LA","5","0","30.2265949","-93.2173759","Louisiana"
"Larose","LA","1","1","29.572438","-90.3817483","Louisiana"
"Livingston Parish","LA","1","0","30.412795","-90.7410590657","Louisiana"
"Loranger","LA","1","1","30.6357439","-90.3981441","Louisiana"
"Luling","LA","1","0","29.9321498","-90.3664695","Louisiana"
"Mansfield","LA","1","0","32.0376629","-93.7001819","Louisiana"
"Marrero","LA","9","1","29.8993723","-90.1003506","Louisiana"
"Metairie","LA","6","3","30.00135175","-90.1767313476","Louisiana"
"Monroe","LA","2","0","32.5093109","-92.1193012","Louisiana"
"Morgan City","LA","1","0","29.6993748","-91.20677","Louisiana"
"Nairn","LA","1","0","29.4279955","-89.6108947","Louisiana"
"New Orleans","LA","146","17","29.9499323","-90.0701156","Louisiana"
"New Orleans ","LA","1","0","29.9499323","-90.0701156","Louisiana"
"Patterson","LA","1","1","29.6932642","-91.3020502","Louisiana"
"Port Allen","LA","2","0","30.4521351","-91.2101081","Louisiana"
"Prairieville","LA","2","0","30.3029721","-90.9720451","Louisiana"
"Ragley","LA","1","0","30.512699","-93.2323813","Louisiana"
"Reserve","LA","5","0","30.0538131","-90.5517534","Louisiana"
"River Ridge","LA","3","0","29.9602043","-90.2156316","Louisiana"
"Ruston","LA","1","0","32.5269104","-92.6463257","Louisiana"
"Shreveport","LA","13","0","32.5221828","-93.7651944","Louisiana"
"Slidell","LA","6","0","30.2751945","-89.7811745","Louisiana"
"Sorrento","LA","1","0","30.1843642","-90.8592632","Louisiana"
"St. Bernard","LA","1","0","29.8779823","-89.5969002","Louisiana"
"St. Joseph","LA","2","0","31.9184926","-91.2334451","Louisiana"
"St. Rose","LA","3","0","29.9468716","-90.3231349","Louisiana"
"St. Tammany Parish","LA","1","0","30.4256963","-89.9620548399","Louisiana"
"Terrebonne","LA","1","0","29.4257758","-90.5674867","Louisiana"
"Terrytown","LA","1","0","29.910205","-90.0325709","Louisiana"
"Thibodaux","LA","2","0","29.7957633","-90.822871","Louisiana"
"Varnado","LA","2","0","30.8937963","-89.8295203","Louisiana"
"Ville Platte","LA","1","0","30.6879749","-92.2715157","Louisiana"
"Violet","LA","1","0","29.8957605","-89.8978439","Louisiana"
"Waggaman","LA","1","0","29.9185388","-90.2109093","Louisiana"
"West Monroe","LA","1","1","32.5184775","-92.1476353","Louisiana"
